"","x"
"1","000010000011"
"2","001010000111"
"3","011010000010"
"4","000011111110"
"5","101101000101"
"6","000100010100"
"7","111101111110"
"8","111111000010"
"9","000011010011"
"10","100011100000"
"11","101110110001"
"12","111011111101"
"13","111011011001"
"14","010101000010"
"15","000010001000"
"16","101010011111"
"17","010000111101"
"18","011010111100"
"19","101111010110"
"20","000110110101"
"21","001010000001"
"22","110101100110"
"23","111110010100"
"24","001000001011"
"25","100111101001"
"26","000010010001"
"27","100100101010"
"28","011010110111"
"29","000001100100"
"30","101111000111"
"31","010101101100"
"32","001111010010"
"33","010001011100"
"34","110101011011"
"35","000010101000"
"36","011011101101"
"37","101001000011"
"38","101111000000"
"39","001111101111"
"40","001101110111"
"41","110110110101"
"42","100011001011"
"43","010110110011"
"44","001010001110"
"45","110110100100"
"46","001001111111"
"47","100111011100"
"48","101101001010"
"49","011110000011"
"50","010101111000"
"51","001101000101"
"52","100011001100"
"53","110000110001"
"54","011101010001"
"55","000110001101"
"56","110001101101"
"57","011001000110"
"58","011101010101"
"59","110110011010"
"60","001000011001"
"61","100101100101"
"62","010110001100"
"63","110100011001"
"64","001011000010"
"65","101011110101"
"66","011101001010"
"67","011011000111"
"68","000101000001"
"69","100001010110"
"70","111101000011"
"71","111010111011"
"72","000011101001"
"73","011111110000"
"74","110011100101"
"75","110011100110"
"76","101011001011"
"77","100110110111"
"78","010001111100"
"79","101010011001"
"80","111001111011"
"81","111001000011"
"82","010010111010"
"83","011011011110"
"84","101000010000"
"85","000010011111"
"86","000101110000"
"87","101010000110"
"88","101100000100"
"89","110000110000"
"90","000010100010"
"91","010001111001"
"92","001000001111"
"93","010110000011"
"94","010000111110"
"95","001011001010"
"96","011010100001"
"97","001001000110"
"98","011010001101"
"99","100111011101"
"100","011101010000"
"101","100111010100"
"102","100101001101"
"103","111010101001"
"104","011001011101"
"105","010011000000"
"106","000001100110"
"107","110101011100"
"108","000110101000"
"109","011110001000"
"110","010011000001"
"111","100011011111"
"112","100100001111"
"113","010011101010"
"114","001011000001"
"115","111101011000"
"116","011101000110"
"117","111011001101"
"118","110110010110"
"119","111011000110"
"120","111111010101"
"121","101110100111"
"122","011110010001"
"123","010100011111"
"124","001111000101"
"125","101100010011"
"126","111101000010"
"127","100001110100"
"128","110001110011"
"129","011011110101"
"130","100110111101"
"131","110010011010"
"132","111001000110"
"133","100010111111"
"134","100010101110"
"135","011110111001"
"136","011100101100"
"137","010101111101"
"138","101010111011"
"139","111111110100"
"140","010111100110"
"141","111010101111"
"142","011001110000"
"143","101011100011"
"144","101000000110"
"145","111100011011"
"146","001001010010"
"147","001010110001"
"148","000111101101"
"149","100010000101"
"150","010001101110"
"151","000100100001"
"152","010100011000"
"153","001100011011"
"154","111111110011"
"155","111010010000"
"156","001100101001"
"157","000101001110"
"158","111100111010"
"159","111110010000"
"160","010111001000"
"161","011100001100"
"162","000010011010"
"163","101010101011"
"164","110100011011"
"165","010110101101"
"166","000001000101"
"167","111111010011"
"168","110000000110"
"169","110100111111"
"170","111000000010"
"171","000101010111"
"172","001110110110"
"173","111111111011"
"174","010010100100"
"175","110000010011"
"176","010111110111"
"177","111000010010"
"178","111011100000"
"179","010100000101"
"180","010011011001"
"181","000110101111"
"182","110111101111"
"183","101001001011"
"184","101111110111"
"185","111010101011"
"186","100100010101"
"187","100100011100"
"188","000011010111"
"189","011010101011"
"190","101000111010"
"191","010101011101"
"192","101101000001"
"193","010111110010"
"194","111101011010"
"195","000001010100"
"196","011010101000"
"197","010000110010"
"198","101000011100"
"199","010001010000"
"200","000001001101"
"201","100101110001"
"202","001101010010"
"203","001100111110"
"204","011101010111"
"205","111110011100"
"206","100011000101"
"207","101111100100"
"208","111011001000"
"209","010111000110"
"210","001010111100"
"211","011011110001"
"212","111010011110"
"213","101011100110"
"214","001100010111"
"215","111110110111"
"216","101011010001"
"217","011110100011"
"218","110000001110"
"219","101011101011"
"220","101101000111"
"221","110111111111"
"222","010000011000"
"223","001110001000"
"224","111000000101"
"225","010111101100"
"226","000100000101"
"227","001111100101"
"228","101001111101"
"229","010111110101"
"230","100110010101"
"231","111101101100"
"232","111100010010"
"233","110011111110"
"234","011100010101"
"235","111001001100"
"236","101010110000"
"237","010100010010"
"238","111100110000"
"239","111100001000"
"240","111100110110"
"241","101101110010"
"242","010001101100"
"243","010110010000"
"244","100000100101"
"245","000000001110"
"246","011001100110"
"247","100101000010"
"248","011111100010"
"249","010010100010"
"250","100101011001"
"251","011100100100"
"252","010111110000"
"253","100111000110"
"254","111110011011"
"255","011111000011"
"256","101001100101"
"257","000110101110"
"258","111001111110"
"259","011110011101"
"260","101011111111"
"261","010110101010"
"262","100001100111"
"263","000101001111"
"264","110100011101"
"265","111110100111"
"266","101000111110"
"267","010010011110"
"268","100110100111"
"269","000111010011"
"270","110101110110"
"271","101101000000"
"272","110110111110"
"273","001100111111"
"274","000010101010"
"275","001001001001"
"276","101000110110"
"277","010011111000"
"278","000101110011"
"279","011100001111"
"280","000001101110"
"281","100001010010"
"282","001100000011"
"283","011100101110"
"284","111000111000"
"285","110010110111"
"286","100100000010"
"287","010101100100"
"288","100111001101"
"289","011101100100"
"290","110010001010"
"291","100111000000"
"292","111011001100"
"293","010010010011"
"294","110110100001"
"295","001011110001"
"296","010000100110"
"297","001111100100"
"298","100110001000"
"299","101000010001"
"300","001000001000"
"301","110001001011"
"302","001010010101"
"303","101001111011"
"304","011101110010"
"305","101000100110"
"306","010000101110"
"307","000110010110"
"308","001111010001"
"309","011010100111"
"310","101110011001"
"311","001010001100"
"312","010001011010"
"313","110010100010"
"314","100001111001"
"315","001001010001"
"316","010111101110"
"317","100100111111"
"318","100100101111"
"319","011010100011"
"320","101100011101"
"321","000001011110"
"322","111010111111"
"323","101011010011"
"324","111000110001"
"325","111010100100"
"326","000100001010"
"327","010011011010"
"328","110100100011"
"329","010001011101"
"330","011100110100"
"331","100111111100"
"332","100110010111"
"333","111101010010"
"334","011110101111"
"335","001101010001"
"336","001111000001"
"337","101010101101"
"338","100001111110"
"339","100111010001"
"340","001111110111"
"341","011110111101"
"342","000101010010"
"343","111110001111"
"344","100110011001"
"345","101000110101"
"346","100110000110"
"347","000100100010"
"348","000101110010"
"349","010011110110"
"350","011000111011"
"351","011111111111"
"352","000001100111"
"353","101001010100"
"354","010011101111"
"355","101000101100"
"356","111011100011"
"357","001101011011"
"358","001110101001"
"359","001001001010"
"360","001110111011"
"361","110100111011"
"362","110110010101"
"363","010001111101"
"364","001101111101"
"365","110001100110"
"366","110001000101"
"367","010001001001"
"368","110001101010"
"369","100110011000"
"370","001001010011"
"371","100000111010"
"372","111000000110"
"373","101010101110"
"374","011011011111"
"375","100011111111"
"376","110000011101"
"377","000110100001"
"378","100000110000"
"379","010100100110"
"380","100111111011"
"381","101110100110"
"382","011111111110"
"383","111101011101"
"384","010011100111"
"385","111110101001"
"386","111111011111"
"387","000100001000"
"388","101111110010"
"389","001010011011"
"390","010001001111"
"391","010111110100"
"392","100111110001"
"393","011000000011"
"394","000010110110"
"395","011110100001"
"396","100001011110"
"397","110111001011"
"398","100100010110"
"399","010101110001"
"400","011011111011"
"401","101011001110"
"402","110110110000"
"403","001101000011"
"404","101011100101"
"405","000001111101"
"406","001000011101"
"407","010110000010"
"408","000100011000"
"409","111011001010"
"410","100111111001"
"411","100101000100"
"412","100100001010"
"413","110010111101"
"414","110011100000"
"415","110001110101"
"416","001110011100"
"417","000001011100"
"418","101110101010"
"419","110000111100"
"420","100001011100"
"421","101010001001"
"422","100100111000"
"423","011110111110"
"424","101110111101"
"425","110001011101"
"426","000111110110"
"427","011000110010"
"428","100001101110"
"429","100111011111"
"430","010000000000"
"431","110011111010"
"432","000111000000"
"433","111000100010"
"434","110111100010"
"435","110100001110"
"436","110101101110"
"437","110111011110"
"438","101010000011"
"439","000010000101"
"440","011111111011"
"441","100110100000"
